DATE',ID_CAMS',0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-01-04',6379,7.9256763,6.7898965,7.1722531,7.8779736,7.0516710,9.4025812,14.212188,11.606827,11.294136,10.328194,8.4424276,7.6231933,7.2564187,7.6707873,8.5582819,9.0065632,10.400194,11.587143,11.011409,9.6247139,9.2599649,8.4412766,7.9298558,7.6346397
2019-01-04',6562,5.1441007,5.0045729,4.8379498,4.6979752,5.9776573,7.4060135,7.6282701,9.1564779,8.7314501,7.6841788,6.2701983,6.5734940,6.5077910,7.7260251,9.0042324,9.2160320,9.3118706,9.0352716,8.3575029,7.9678984,7.5792332,7.3423367,6.2937174,6.0738187
2019-01-04',6563,7.6395836,6.4323654,6.8483167,7.4625759,6.8460684,9.1130781,13.158340,11.269320,11.068213,9.7477655,8.4362030,7.6774220,7.4793873,8.2416945,9.4480524,10.745802,11.900690,11.547637,10.699679,9.7570448,9.4600544,8.6229906,7.8052268,7.1946716
2019-01-04',6564,7.9256763,6.7898965,7.1722531,7.8779736,7.0516710,9.4025812,14.212188,11.606827,11.294136,10.328194,8.4424276,7.6231933,7.2564187,7.6707873,8.5582819,9.0065632,10.400194,11.587143,11.011409,9.6247139,9.2599649,8.4412766,7.9298558,7.6346397
2019-01-04',6747,5.5343876,5.1520243,5.5690556,5.9858193,7.0798798,8.2969627,8.8546524,8.8783569,8.6845264,8.3767300,8.1879816,7.4242554,7.6810818,7.9857426,9.1917028,9.5590534,9.7782135,9.4894505,9.7242460,8.7300692,8.2987995,7.6360321,6.7421694,6.9869657
2019-01-04',6748,6.1748991,5.4453936,5.9817104,6.7955894,7.4227591,9.4175739,10.645604,11.300299,10.161019,9.7280836,9.2907581,8.3395338,8.2699366,8.6860113,9.8716488,10.544633,11.067081,10.980425,10.082303,9.2828150,9.2928209,8.5575781,7.2435284,7.2025442
2019-01-04',6749,6.7217898,5.8617287,6.1609659,7.0434837,7.7656527,10.268861,11.904515,11.957850,11.870770,10.995706,10.008407,7.9610138,7.5732212,8.0932760,9.3681583,10.165687,11.259297,11.433296,10.837567,9.9652338,9.1594515,9.2789774,7.8435106,7.2461433
2019-01-05',6192,6.2159619,6.0477986,5.7450204,6.9278641,6.4903278,6.4204602,8.5863400,7.8105235,8.1571360,7.9484253,7.4792438,7.7993293,7.3973041,7.0919838,6.9889493,6.7997584,6.8278532,6.8645749,6.7945580,6.8062453,6.6545711,6.2502480,6.3211970,6.6116281
2019-01-05',6193,6.4763050,6.9250488,6.5193133,6.9770050,9.9907312,11.545292,10.619884,9.7077866,9.3511467,9.1655283,8.6711082,8.2286110,8.2451944,7.9333377,7.5477343,7.5882902,7.6728020,7.8693390,7.8760042,7.8867249,7.6559529,7.0510292,6.8660693,7.0903630
2019-01-05',6194,6.2961254,6.8017697,6.4432569,6.9811687,10.181498,11.914291,11.197699,8.8627806,9.3124504,9.1225405,8.6938171,8.4286995,8.3830404,8.0170822,7.9661021,7.6743512,7.7003145,7.9558830,7.9551020,7.9615593,7.7214365,7.6200604,7.1956191,7.2024302
